"number","title","pageid","namespace","length","touched"
"82","Brezel","47445","","1083","20191014092726"
"83","Breze","47447","","283","20190819010531"
"84","Digitalkamera","47467","","246","20191014092732"
"85","Badewanne","48438","","376","20200128183856"
"86","Diaspora","49534","","2691","20200106001440"
"87","Peter","50152","","19716","20200520043937"
"88","Leiter","50313","","4889","20191116110759"
"89","Gebrauchsmusik","51591","","222","20170525000124"
"90","Verbrauchsmusik","51595","","178","20170525000124"
"91","Freundin","51755","","585","20191014093331"
"92","Sekunde","51910","","914","20200706071209"
"93","Terz","51911","","283","20191014093354"
"94","Sexte","51915","","361","20191015001514"
"95","Septime","51916","","211","20170525000205"
"96","Oktave","51918","","388","20191125155501"
"97","Liebe","52037","","2371","20190929224353"
"98","Wien","53437","","1637","20200617115416"
"99","Aasfliege","54038","","557","20191014093738"
"100","Schmeißfliege","54040","","290","20171201181948"
"101","Sprache","54161","","14358","20200506020652"
"102","Rachel","54624","","4743","20200609213908"
"103","Sony","54832","","3776","20200113015825"
"104","Farbe","55212","","2504","20200324031933"
"105","Saale","55975","","872","20200601162120"
"106","Heuschrecke","57396","","1357","20191014094157"
"107","Mücke","57761","","1506","20190929225945"
"108","Missgunst","57880","","770","20200319113958"
"109","Europa","58979","","16456","20200603095616"
"110","Kehle","59008","","929","20191020162945"
"111","Putzfrau","63121","","508","20191125134404"
"112","Frau","63123","","6766","20200228190853"
"113","Völkerwanderung","65184","","1574","20191006013317"
"114","Regelstudienzeit","65278","","128","20170621125441"
"115","Küche","65316","","707","20200409231815"
"116","Auktion","65329","","292","20191014095305"
"117","Achtung","65667","","1403","20191014095328"
"118","Halbmonatsschrift","66201","","160","20170525003555"
"119","Spielkarte","66209","","453","20191014095422"
"120","Epilepsie","66216","","391","20190930014302"
"121","Sommer","67111","","1782","20200616032934"
"122","Depositenbank","67356","","233","20170513012137"
"123","Familie","67419","","1024","20200207094310"
"124","Baum","67493","","3339","20200521050800"
"125","Mundart","67976","","1444","20200317233737"
"126","Kreuzigung","68332","","347","20191014095740"
"127","Alzheimer-Krankheit","68402","","161","20191122035651"
"128","Sau","68485","","2519","20200203173515"
"129","Säule","69190","","782","20191014095838"
"130","Litfaßsäule","69191","","2334","20191001150348"
"131","Welle","69992","","1616","20200608184612"
"132","Entschuldigung","70041","","1356","20191014100014"
"133","Singulärwertzerlegung","70093","","98","20170621125501"
"134","Andrea","71219","","5335","20200621154635"
"135","Panzerfaust","71585","","897","20200708150511"
"136","Übersetzung","74873","","498","20191001074245"
"137","Eris","75200","","13756","20200427064504"
"138","arabische_Ziffer","75651","","146","20170920154759"
"139","Wahrscheinlichkeitstheorie","75728","","182","20170525005354"
"140","Mandel","75748","","883","20191006013927"
"141","Artillerie","75948","","934","20190930020513"
"142","Luke","76205","","11471","20200616033009"
"143","Sophia","76216","","5237","20200401194820"
"144","Ehefrau","77373","","713","20191026111527"
"145","Ehegattin","77374","","486","20191026112559"
"146","Gattin","77375","","469","20191026112654"
"147","Gemahlin","77376","","895","20191026112948"
"148","Weisheit","78297","","620","20191006014542"
"149","Gaeltacht","79002","","2035","20200128082635"
"150","Einstein","79709","","5303","20200619180950"
"151","Antarktis","80005","","1479","20200130195631"
"152","Arie","81181","","917","20190929151750"
"153","Marie","83553","","7649","20200509214848"
"154","Schlange","87554","","1188","20200119175609"
"155","Frucht","87566","","2782","20200102114422"
"156","Urne","87833","","359","20191014102410"
"157","Wurzel","87874","","2065","20191222185118"
"158","Rinde","87876","","756","20200127015718"
"159","Blume","87882","","6059","20200429171434"
"160","Nase","87892","","2048","20191121140851"
"161","Angela","88436","","4617","20200628142053"
"162","Flasche","89236","","1370","20191015084734"
"163","Carla","89936","","1369","20200418153625"
"164","Verbindung","90252","","562","20200606074427"
"165","Katze","91740","","2002","20200406012914"
"166","Architektur","93078","","196","20191014103119"
"167","Feststellung","93097","","551","20191014103121"
"168","Wiederverwendbarkeit","93100","","58","20170525012223"
"169","Datenbank","93103","","934","20191001104641"
"170","Unterhaltung","93111","","322","20191014103125"
"171","Unterstützung","93116","","194","20191014103127"
"172","Überflutung","93128","","279","20191125152741"
"173","Vielzahl","93132","","225","20191014103133"
"174","Versorgung","93134","","319","20191014103134"
"175","Ergänzung","93154","","1146","20191014103136"
"176","Belohnung","93161","","338","20191006015244"
"177","Aufmerksamkeit","93176","","668","20200313175059"
"178","Krone","93182","","1211","20200202192834"
"179","Zelle","93339","","1439","20191115124009"
"180","Gattung","93344","","1103","20200623142233"
"181","Aussprache","93355","","439","20191006015300"
"182","Puffmutter","93779","","273","20200709210027"
"183","Gänseliesel","95097","","1218","20190318025428"
"184","Tafel","95241","","1224","20200701105845"
"185","Gülle","95598","","600","20190930024621"
"186","Ordnung","96099","","2731","20200527112528"
"187","Flut","96246","","1060","20200210182859"
"188","Erdnuß","97432","","161","20191014032123"
"189","Erdnuss","97433","","991","20200224171527"
"190","Geranie","98873","","297","20191014103909"
"191","Entdeckung","99087","","421","20200111233042"
"192","Freund","100575","","1826","20200228091954"
"193","Monica","100829","","4894","20200418122952"
"194","Armut","101770","","729","20200303035716"
"195","Luftwaffe","103736","","1243","20200419144836"
"196","Scientology","104230","","5873","20191012135729"
"197","Maria","104609","","19030","20200509150532"
"198","Ludwig","104613","","2301","20200509221305"
"199","Sekretärin","104887","","319","20191014104728"
"200","Majonäse","105075","","649","20191109125927"
"201","Mine","106932","","1012","20191020132350"
"202","Definition","106948","","393","20191014104928"
"203","Aam","107168","","128","20170525014305"
"204","Aba","107209","","976","20200621154945"
"205","Abalone","107266","","297","20191014104930"
"206","Aberration","107520","","321","20191014104933"
"207","Abkürzung","107645","","561","20200605105315"
"208","Abrasion","107843","","352","20191014104936"
"209","Absorption","108034","","387","20191014104939"
"210","Acht","108844","","3305","20191106195435"
"211","Acne","108924","","113","20191014032234"
"212","Addition","109249","","542","20200708112441"
"213","Adel","109289","","1833","20200126231651"
"214","Administration","109445","","741","20200302221516"
"215","Adoption","109526","","276","20191014104949"
"216","Adresse","109555","","492","20191014032234"
"217","Agenda","109975","","483","20200111172832"
"218","Aggression","110036","","211","20191014104956"
"219","Agitation","110069","","280","20191014104958"
"220","Akustik","110367","","306","20191014105000"
"221","Albedo","110426","","422","20200510210353"
"222","Algebra","110530","","487","20191014105006"
"223","Aller","110682","","818","20200601161910"
"224","Allusion","110736","","169","20170525014328"
"225","Alma","110745","","5301","20200620185849"
"226","Ambition","110971","","368","20191014105014"
"227","Analyse","111209","","1542","20191017133112"
"228","Analysis","111211","","215","20191014105019"
"229","Ananas","111217","","2144","20200515215440"
"230","Anemone","111321","","2009","20200422003203"
"231","Angel","111332","","4705","20200616033157"
"232","Angst","111379","","1217","20191118182114"
"233","Anke","111433","","1481","20200206061041"
"234","Anode","111483","","211","20191014105026"
"235","Apartheid","111746","","538","20191014105030"
"236","Apian","111781","","311","20200616033158"
"237","Arme","112324","","738","20191008174537"
"238","Art","112422","","1879","20200623142412"
"239","Au","112934","","2043","20200616033203"
"240","Aubergine","112944","","1073","20200623180304"
"241","Aura","112998","","1900","20200607175125"
"242","Aversion","113203","","375","20191014105100"
"243","Avocado","113251","","327","20191014105101"
"244","Balalaika","113922","","258","20191014105106"
"245","Balance","113925","","699","20191104234623"
"246","Banane","114079","","338","20191014105109"
"247","Band","114093","","3103","20200616203236"
"248","Bande","114098","","958","20191014085744"
"249","Bank","114144","","4426","20200508220913"
"250","Bar","114204","","1560","20200312071515"
"251","Barbe","114225","","500","20191005153819"
"252","Bark","114275","","297","20191014105114"
"253","Base","114337","","2323","20200613115927"
"254","Basis","114371","","720","20191014105118"
"255","Beck","114669","","2002","20200415200005"
"256","Berg","115084","","3120","20200616033219"
"257","Besetzung","115145","","1889","20191001075119"
"258","Billion","115492","","575","20191107152841"
"259","Bitte","115640","","751","20191024062444"
"260","Blase","115742","","1277","20200514110956"
"261","Blockade","115833","","262","20190930034151"
"262","Boa","115976","","1246","20191014105133"
"263","Bouillon","116347","","546","20191014105141"
"264","Bourgeoisie","116366","","532","20190930034201"
"265","Box","116413","","2064","20200413121645"
"266","Brand","116496","","1715","20200626222358"
"267","Bratwurst","116537","","1803","20191018130345"
"268","Burke","117139","","2170","20200616033240"
"269","Butter","117248","","2453","20191216150726"
"270","Charge","118761","","661","20200610093306"
"271","Chili","119008","","2263","20200623015109"
"272","Cholera","119132","","200","20191014105217"
"273","Chose","119157","","390","20191014105218"
"274","City","119467","","2025","20200305210945"
"275","Claque","119531","","203","20200625073751"
"276","Clique","119653","","300","20200710105911"
"277","Cola","119938","","1478","20191124212024"
"278","Collage","119962","","313","20190930034242"
"279","Couleur","121138","","393","20191014105229"
"280","Courage","121207","","983","20200209064225"
"281","Cousine","121227","","669","20200613122111"
"282","Creme","121426","","1099","20200324035435"
"283","Creole","121435","","4219","20200501232121"
"284","Crux","121628","","2477","20200221082546"
"285","Dame","122181","","2385","20191231124227"
"286","Decke","122561","","1500","20200607191000"
"287","Delegation","122784","","198","20191014105251"
"288","Demonstration","122881","","455","20191006020321"
"289","Deportation","122988","","307","20191014105254"
"290","Depression","123003","","1250","20190928062437"
"291","Determination","123206","","234","20191014105257"
"292","Detonation","123220","","270","20191014105258"
"293","Deutsche","123242","","519","20200203173023"
"294","Diagnose","123352","","701","20191014105300"
"295","Dimension","123576","","221","20191014105304"
"296","Diode","123616","","310","20191014105306"
"297","Diskette","123806","","244","20191014105310"
"298","Distribution","123922","","244","20200529205558"
"299","Division","123978","","1203","20200526125132"
"300","Dogge","124083","","1055","20191124002943"
"301","Dose","124279","","834","20190722210404"
"302","Drei","124475","","439","20200303165332"
"303","Eider","125359","","1704","20200405121921"
"304","Eins","125395","","385","20200303165321"
"305","Elf","125542","","1599","20200625143904"
"306","Elle","125565","","1210","20200212184557"
"307","Ellipse","125568","","399","20191014105333"
"308","Elma","125571","","2121","20200126194102"
"309","Email","125604","","2413","20191208051752"
"310","Emigration","125659","","396","20191014105334"
"311","Emotion","125684","","315","20191014105335"
"312","Ente","125934","","1405","20200301094047"
"313","Episode","126057","","317","20191014105341"
"314","Eruption","126211","","411","20200314082036"
"315","Esse","126317","","1263","20200503104120"
"316","Etymologie","126449","","961","20190930034345"
"317","Evolution","126648","","298","20191017042144"
"318","Exception","126694","","179","20170525014559"
"319","Expedition","126832","","872","20191014105354"
"320","Expertise","126847","","279","20200220062711"
"321","Explosion","126872","","580","20200307180429"
"322","Fanfare","127261","","395","20190930034351"
"323","Farce","127301","","278","20191014105403"
"324","Farm","127310","","734","20190918081049"
"325","Fauna","127395","","990","20191005215118"
"326","Faust","127396","","1294","20200619170058"
"327","Fee","127480","","628","20190930034357"
"328","Fellatio","127552","","387","20191027162826"
"329","Fete","127678","","1025","20191014105420"
"330","Firma","128014","","568","20191014105427"
"331","Flamme","128160","","607","20191221230809"
"332","Fleck","128218","","2086","20190930034409"
"333","Flora","128317","","4872","20200111173158"
"334","Florentine","128322","","4174","20191029061726"
"335","Form","128627","","983","20200418202917"
"336","Fotze","128733","","1289","20200507135612"
"337","Franse","128848","","975","20191006020331"
"338","Front","129067","","838","20191001075139"
"339","Fructose","129096","","297","20191014105447"
"340","Fusion","129323","","455","20200325171543"
"341","Gabe","129466","","1214","20200612235713"
"342","Gage","129505","","927","20200126194136"
"343","Galaxis","129537","","273","20191014105454"
"344","Gang","129619","","1707","20191228144320"
"345","Gans","129632","","1371","20200530083800"
"346","Garage","129647","","733","20190930034435"
"347","Gazelle","129770","","580","20200422203117"
"348","Geisha","129815","","168","20191014105502"
"349","Generation","129867","","6094","20191014105504"
"350","Gift","130129","","2573","20200618001510"
"351","Giraffe","130206","","1464","20191014105512"
"352","Glottis","130380","","252","20191014105515"
"353","Glut","130403","","1187","20191127145747"
"354","Gravitation","130883","","439","20191001061234"
"355","Grippe","131043","","752","20191014105522"
"356","Gruppe","131132","","1086","20191023153949"
"357","Guillotine","131205","","397","20191014105525"
"358","Hand","131655","","7349","20200610235836"
"359","Hardware","131838","","188","20191014105539"
"360","Hast","131905","","813","20190930034525"
"361","Haut","131940","","2422","20200622004644"
"362","Heck","132105","","2249","20200616033417"
"363","Heldin","132170","","756","20200605191255"
"364","Henna","132268","","1228","20200120185754"
"365","Hieroglyphe","132529","","380","20191104171754"
"366","Homepage","132887","","1210","20191014105555"
"367","Homosexuelle","132961","","730","20191026110509"
"368","Horde","133058","","559","20191014105557"
"369","Horn","133069","","3369","20200601162422"
"370","Hose","133104","","1458","20191201114726"
"371","Hostie","133117","","270","20191014105600"
"372","Hut","133372","","5436","20191001013445"
"373","Hygiene","133448","","256","20191014105608"
"374","Hymne","133457","","615","20191014105609"
"375","Hypotenuse","133527","","222","20191014105610"
"376","Illusion","133914","","283","20191104150340"
"377","Illustration","133918","","480","20191014105614"
"378","Imagination","133937","","383","20191006020341"
"379","Imitation","133957","","393","20200319022309"
"380","Immigration","133977","","275","20170525014722"
"381","Impala","134008","","243","20181108050625"
"382","Inflation","134462","","274","20191014105621"
"383","Influenza","134476","","352","20200630201926"
"384","Information","134489","","1193","20191014105622"
"385","Inhalation","134536","","176","20170525014725"
"386","Innovation","134586","","256","20191014105624"
"387","Inspiration","134641","","650","20200630142122"
"388","Integration","134730","","955","20191014105630"
"389","Interpolation","134841","","182","20170525014727"
"390","Intuition","134935","","532","20200526201011"
"391","Invasion","134962","","204","20191014105633"
"392","Iris","135083","","6762","20200421235222"
"393","Isolation","135206","","355","20200705150700"
"394","Jacht","135363","","869","20191013012353"
"395","Jade","135391","","3469","20200309002711"
"396","Jalousie","135442","","697","20190930034554"
"397","Junta","136016","","828","20191012110205"
"398","Jute","136064","","1515","20200703052423"
"399","KI","136118","","688","20200111031513"
"400","Kai","136153","","4364","20200605143810"
"401","Kaiser","136158","","3131","20200616033436"
"402","Karaoke","136266","","946","20191014111619"
"403","Kiwi","136731","","716","20200321223154"
"404","Kobra","136898","","225","20191014105658"
"405","Kolonie","136933","","816","20191226220424"
"406","Kritik","137075","","990","20200604041332"
"407","Lade","137418","","697","20200317054213"
"408","Lady","137430","","3717","20200316181245"
"409","Lasagne","137649","","544","20191014105708"
"410","Last","137664","","963","20191231165033"
"411","Latrine","137714","","334","20191026000222"
"412","Latte","137715","","729","20200622130925"
"413","Laus","137814","","1308","20191215143347"
"414","Lava","137817","","515","20200120082023"
"415","Lee","137943","","4256","20200616033457"
"416","Legion","137986","","575","20190930071452"
"417","Legislative","137989","","277","20191014111633"
"418","Lehrerin","138003","","4688","20200527073627"
"419","Letter","138122","","1467","20191127062338"
"420","Liaison","138198","","362","20191014105717"
"421","Limo","138410","","521","20200304072309"
"422","Limone","138411","","423","20171112173027"
"423","Limousine","138413","","918","20200111031544"
"424","List","138511","","1135","20200128024425"
"425","Loge","138710","","626","20200625171952"
"426","Logik","138721","","391","20191006020353"
"427","Lok","138742","","362","20191014105729"
"428","Lore","138826","","1085","20191005215348"
"429","Luft","138968","","2494","20200521054030"
"430","Lupe","139041","","941","20200508230709"
"431","Lust","139065","","1342","20191126065521"
"432","Lyra","139113","","2135","20200523200156"
"433","Made","139321","","917","20200616033518"
"434","Maid","139429","","433","20191014111651"
"435","Maisonette","139472","","255","20170525014834"
"436","Malaise","139546","","222","20171112174247"
"437","Mama","139629","","1335","20190930034747"
"438","Mamba","139633","","571","20191006020359"
"439","Mango","139712","","987","20191014105747"
"440","Manipulation","139739","","215","20191014105748"
"441","Marge","139848","","811","20190930034756"
"442","Marine","139868","","1396","20200618214901"
"443","Marionette","139877","","643","20200207232512"
"444","Mark","139888","","13916","20200622182815"
"445","Maser","139979","","410","20191014111702"
"446","Massage","140023","","357","20190930034800"
"447","Masseuse","140031","","463","20191014105753"
"448","Mast","140040","","999","20191001061238"
"449","Masturbation","140057","","466","20200401064622"
"450","Matinee","140108","","396","20190930034802"
"451","Matrix","140124","","1533","20190929114232"
"452","Mayo","140184","","2879","20200426212615"
"453","Media","140291","","3492","20200508083241"
"454","Melange","140398","","315","20191231192321"
"455","Mensa","140477","","2176","20191124093724"
"456","Menstruation","140483","","410","20191014105802"
"457","Migration","140866","","607","20191014105807"
"458","Mille","140913","","1560","20200619095652"
"459","Million","140934","","725","20191123035504"
"460","Minute","141042","","1411","20200706071023"
"461","Miss","141133","","5429","20200603102016"
"462","Mission","141144","","712","20200405041730"
"463","Mode","141272","","310","20191122032013"
"464","Mole","141344","","664","20200616033546"
"465","Monarchie","141393","","757","20200229132014"
"466","Montage","141491","","590","20190930034828"
"467","Moral","141551","","788","20200503173702"
"468","More","141565","","1557","20191002032901"
"469","Mum","141909","","1107","20200301144101"
"470","Muse","141975","","2757","20200709121057"
"471","Musik","141997","","1573","20200504121820"
"472","Mutter","142028","","5335","20200628024958"
"473","Nation","142469","","719","20200518122156"
"474","Natter","142487","","729","20191013143031"
"475","Natur","142489","","1329","20200213132543"
"476","Neige","142662","","403","20200615223951"
"477","Nonchalance","143257","","255","20200401083353"
"478","None","143263","","247","20191030015532"
"479","Nonillion","143273","","417","20191107153816"
"480","Norm","143316","","565","20191005215518"
"481","Not","143399","","1184","20191120141213"
"482","Note","143419","","1443","20200505112720"
"483","Nuance","143522","","367","20191231221753"
"484","Null","143562","","1921","20200518110607"
"485","Nymphe","143673","","284","20191006020413"
"486","Oase","143792","","327","20190930034907"
"487","Oboe","143891","","262","20191014105855"
"488","Oda","144049","","1992","20200507191546"
"489","Offensive","144139","","321","20171009224448"
"490","Ohm","144200","","818","20191010051944"
"491","Oligarchie","144293","","422","20190930034910"
"492","Olive","144305","","2435","20200611222020"
"493","Operation","144622","","437","20191014105900"
"494","Opposition","144658","","1176","20191014105902"
"495","Orange","144714","","4678","20200523051828"
"496","Order","144758","","476","20200706191213"
"497","Organelle","144804","","290","20170525014943"
"498","Organisation","144808","","434","20191014105905"
"499","Otter","145028","","1720","20191014111746"
"500","Ovation","145204","","308","20191014105911"
"501","Palette","145645","","549","20200708143357"
"502","Palisade","145657","","980","20191206104933"
"503","Pampa","145705","","662","20200613220636"
"504","Paprika","145828","","1321","20200526210718"
"505","Paranoia","145881","","307","20191014105921"
"506","Parole","145964","","643","20190928150218"
"507","Partition","146011","","345","20170525014955"
"508","Party","146023","","592","20191014105924"
"509","Passage","146048","","407","20190930034940"
"510","Passion","146065","","908","20191014105927"
"511","Paste","146088","","367","20200422032756"
"512","Patina","146135","","192","20200708161737"
"513","Pause","146179","","1124","20200120032441"
"514","Pelle","146370","","1113","20191005215556"
"515","Pension","146459","","2508","20191126164314"
"516","Perle","146612","","838","20200120025537"
"517","Permutation","146629","","189","20191014105935"
"518","Person","146675","","1695","20191212233034"
"519","Pest","146746","","2541","20200622174710"
"520","Petition","146775","","379","20200708180251"
"521","Phase","146849","","608","20200424084218"
"522","Phrase","146977","","603","20191019095020"
"523","Pike","147140","","1131","20200616033612"
"524","Pipette","147231","","419","20200104135613"
"525","Pirouette","147250","","287","20191014105946"
"526","Piste","147279","","334","20191213031449"
"527","Pizza","147335","","1021","20200313091247"
"528","Plage","147538","","1735","20200101005356"
"529","Plane","147561","","340","20191014105949"
"530","Plaque","147585","","289","20190930035011"
"531","Politik","147932","","2248","20200416112939"
"532","Polka","147936","","1158","20200709185751"
"533","Pomade","148062","","359","20200709190615"
"534","Population","148179","","312","20191014110004"
"535","Pose","148289","","575","20200709191909"
"536","Position","148296","","352","20191105023947"
"537","Post","148328","","1812","20200529125601"
"538","Praxis","148487","","738","20191227135025"
"539","Premiere","148587","","368","20200101013007"
"540","Prise","148795","","330","20200101013353"
"541","Probe","148839","","1381","20200426112533"
"542","Prohibition","148946","","1596","20200709200654"
"543","Promotion","148984","","619","20191014110016"
"544","Proportion","149075","","325","20200709201538"
"545","Prostitution","149127","","368","20200101014234"
"546","Provision","149203","","330","20200709202908"
"547","Psyche","149289","","2234","20200426003409"
"548","Pute","149581","","1012","20200710054143"
"549","Quadrillion","149825","","487","20200710055643"
"550","Quintillion","150119","","485","20200710061219"
"551","Quote","150208","","401","20200710160059"
"552","Rage","150372","","517","20200311175350"
"553","Raison","150418","","133","20191014032318"
"554","Rate","150538","","640","20200614153146"
"555","Ratio","150545","","298","20191014110042"
"556","Rebellion","150711","","370","20191014110043"
"557","Recherche","150752","","364","20191014110045"
"558","Reform","150959","","855","20191205214202"
"559","Regen","150990","","1102","20200126194525"
"560","Regina","151002","","3978","20200519050849"
"561","Region","151007","","399","20191014110052"
"562","Relation","151086","","296","20191014110054"
"563","Religion","151117","","1167","20191001075215"
"564","Renaissance","151190","","7677","20200629001738"
"565","Reputation","151302","","219","20200101044219"
"566","Reserve","151342","","816","20200126194529"
"567","Resignation","151357","","255","20191014110101"
"568","Rest","151407","","1674","20200525200503"
"569","Retina","151464","","628","20191006020429"
"570","Reunion","151498","","1360","20200414002942"
"571","Reuse","151503","","730","20200414011855"
"572","Revolution","151544","","1085","20191224215630"
"573","Rose","154366","","6514","20200427091023"
"574","Rosette","154371","","235","20200101060214"
"575","Rotation","154384","","177","20200101060527"
"576","Route","154424","","309","20191013012414"
"577","Routine","154429","","384","20191014110111"
"578","Rumba","154535","","445","20200131020806"
"579","Rune","154561","","2278","20200506210955"
"580","Sabotage","154814","","318","20190930035125"
"581","Sache","154837","","2334","20200706105225"
"582","Safari","154869","","382","20191014111845"
"583","Sage","154888","","1422","20200118165413"
"584","Saison","154948","","527","20191014110119"
"585","Salami","154968","","481","20191014111847"
"586","Salve","155020","","205","20170525015111"
"587","Sandbox","155092","","200","20191225145421"
"588","Satire","155209","","450","20191014110126"
"589","Sauna","155243","","452","20191014110128"
"590","Schnecke","155430","","1174","20200119062412"
"591","See","155835","","4711","20200616033645"
"592","Sensation","156055","","295","20170525015123"
"593","Sense","156056","","570","20200421035833"
"594","Septillion","156117","","419","20191107153748"
"595","Serpentine","156193","","665","20200123102356"
"596","Serviette","156211","","483","20200403215629"
"597","Sextillion","156351","","456","20191107153734"
"598","Silage","156882","","247","20190930035201"
"599","Silhouette","156896","","305","20191014111859"
"600","Simulation","156972","","301","20200225181746"
"601","Single","157007","","1630","20191014110150"
"602","Sitar","157086","","247","20190930035204"
"603","Situation","157096","","1064","20200417104825"
"604","Skala","157159","","312","20191014095947"
"605","Software","157749","","3163","20200624135314"
"606","Soiree","157782","","347","20190930035212"
"607","Sole","157807","","1613","20200312190931"
"608","Sonde","157892","","286","20191014110201"
"609","Sonne","157904","","2975","20200501091041"
"610","Sorge","157956","","1081","20200703141235"
"611","Spaghetti","158102","","1004","20191014110205"
"612","Spalte","158110","","1551","20190930035221"
"613","Sphinx","158256","","4557","20200525154910"
"614","Spindel","158290","","451","20200413215617"
"615","Spree","158405","","1553","20200702091820"
"616","Spur","158443","","1279","20191112093122"
"617","Statue","158714","","640","20191006020438"
"618","Stein","158755","","18881","20200616033703"
"619","Steppe","158791","","893","20200216193636"
"620","Stern","158811","","6077","20200402140336"
"621","Strafe","158973","","1574","20191222124205"
"622","Subversion","159297","","178","20170525015158"
"623","Suite","159390","","548","20200116184952"
"624","Supernova","159534","","288","20191014110227"
"625","Sure","159575","","176","20170525015202"
"626","Swastika","159761","","271","20170525015203"
"627","Synapse","159894","","240","20200101155717"
"628","Synopsis","159919","","154","20170525015205"
"629","Syphilis","159928","","399","20200516214142"
"630","Tasche","160414","","1579","20200706042826"
"631","Tasse","160424","","1600","20200119021756"
"632","Taste","160428","","903","20191014110245"
"633","Tat","160433","","1799","20200310174108"
"634","Telefonnummer","160610","","274","20191014110250"
"635","Temperatur","160669","","693","20191019094510"
"636","Termite","160791","","561","20200401140621"
"637","That","160933","","121","20170525015220"
"638","These","161075","","306","20191103200403"
"639","Thrombose","161229","","419","20200101172400"
"640","Tide","161328","","1113","20190930035323"
"641","Tilde","161389","","657","20191102043531"
"642","Toga","161577","","678","20200405041758"
"643","Toilette","161593","","812","20200302090229"
"644","Tomate","161628","","795","20200507095635"
"645","Tonne","161662","","1512","20200324214202"
"646","Torte","161771","","1153","20200513002700"
"647","Tour","161816","","1087","20191014110319"
"648","Tradition","161892","","349","20191014110320"
"649","Tram","161940","","424","20191014110322"
"650","Trance","161945","","176","20200101181052"
"651","Tranche","161947","","196","20171112173815"
"652","Transformation","162042","","386","20191014110323"
"653","Translation","162095","","789","20191006020449"
